  Equal Weight Returns -- Monthly,,,
Dates,Hi 30,Hi 20,Hi 10
194807,-4.9,-4.89,-4.79
194808,-0.12,-0.23,0.12
194809,-5.18,-5.44,-6.14
194810,5.64,5.75,6.47
194811,-12.34,-13.11,-14.74
194812,0.47,0.71,1.24
194901,2.69,3.08,3.58
194902,-4.82,-5.19,-6.72
194903,7.19,7.61,8.61
194904,-3.75,-3.85,-3.78
194905,-5.77,-6.46,-7.81
194906,-1.62,-1.98,-2.28
194907,5.96,5.71,6.23
194908,2.14,1.9,1.7
194909,4.88,5.04,6.61
194910,4.35,4.53,4.18
194911,0.32,0.28,0.39
194912,8.9,9.67,11.93
195001,5.15,6.13,6.53
195002,0.94,0.69,0.57
195003,-1.07,-0.95,0.48
195004,7.04,8.01,8.66
195005,3.69,3.24,3.15
195006,-8.41,-9.11,-9.74
195007,12.82,14.95,18.85
195008,4.57,4.52,3.46
195009,5.25,5.21,5.53
195010,0.25,0.65,1.07
195011,5.46,6.53,7.73
195012,12.8,14.23,16.49
195101,9.75,10.09,11.52
195102,-0.05,-0.23,-0.21
195103,-5.49,-5.7,-6.4
195104,5.59,5.45,5.57
195105,-3.32,-3.62,-3.72
195106,-6.92,-7.39,-8.35
195107,6.85,6.84,8.21
195108,4.77,4.5,4
195109,2.8,2.99,3.16
195110,-2.99,-3.15,-3.42
195111,0.47,0.28,0.73
195112,0.5,0.47,0.25
195201,1.69,1.87,1.74
195202,-2.11,-1.83,-1.12
195203,3.73,4.06,5.6
195204,-4.17,-3.93,-2.98
195205,2.5,2.74,2.9
195206,3.82,3.74,4.55
195207,0.39,0.21,0.19
195208,-0.23,-0.61,-0.63
195209,-1.91,-1.78,-1.98
195210,-1.27,-1.02,-0.79
195211,5.98,5.93,6.47
195212,2.1,2.54,3
195301,3.46,3.53,3.5
195302,1.16,1.14,1.19
195303,-1.3,-1.37,-1.02
195304,-1.62,-1.86,-2.23
195305,0.94,1.41,2.81
195306,-3.86,-3.86,-3.92
195307,1.83,1.64,1.13
195308,-6.66,-6.94,-8.11
195309,-2.75,-3.05,-3.35
195310,2.96,2.81,2.88
195311,1.63,1.99,1.96
195312,-3.47,-4.03,-4.85
195401,9.09,9.27,9.04
195402,0.89,0.35,0.8
195403,1.89,1.72,1.27
195404,0.57,0.08,0.17
195405,5.01,5.18,5
195406,1.63,1.61,1.61
195407,9.55,10.54,11.17
195408,-0.69,-0.67,-1.47
195409,4.45,4.01,3.21
195410,-0.57,-0.93,-0.89
195411,9.87,9.23,9.71
195412,12.72,13.65,15.25
195501,2.31,2.72,3.17
195502,4.72,4.83,4.73
195503,1.08,1.11,1.25
195504,2.55,2.13,3.66
195505,0.63,0.96,1.16
195506,3.19,2.53,1.79
195507,1.65,1.64,1.33
195508,0,-0.11,-0.35
195509,-0.25,0.23,-0.29
195510,-1.43,-1.29,-1.24
195511,5.15,5.17,6.28
195512,1.81,1.92,1.96
195601,-1.72,-2.05,-2.14
195602,2.84,2.76,2.78
195603,5.05,4.74,4.99
195604,0.33,0.6,1.34
195605,-4.74,-4.92,-5.38
195606,1.13,0.92,0.77
195607,3.29,3.07,2.89
195608,-1.97,-2.23,-3.14
195609,-2.17,-1.96,-1.96
195610,0.8,0.82,1.37
195611,0.84,0.8,1.34
195612,1.47,1.24,1.75
195701,2.13,2.62,2.51
195702,-2.49,-2.38,-2.47
195703,2.04,1.99,2.71
195704,2.39,2.34,3.51
195705,1.45,1.73,2.32
195706,0.15,0.36,1.14
195707,0.6,0.7,0.06
195708,-5,-4.76,-4.88
195709,-5.36,-5.96,-7.42
195710,-8.55,-9.55,-11.44
195711,0.89,0.74,-0.28
195712,-6.31,-6.15,-7.09
195801,14.27,15.09,16.43
195802,-1.31,-1.56,-3.05
195803,3.12,3.01,3.21
195804,4.71,5.58,6.97
195805,4.23,4.42,4.68
195806,3.57,3.92,4.04
195807,6.88,7.53,8.63
195808,4.05,4.18,4.27
195809,7.67,8.61,9.77
195810,3.47,3.45,2.76
195811,4.31,4.15,4.58
195812,3.65,2.93,2.51
195901,6.11,6.21,6.75
195902,2.66,2.1,1.37
195903,1.35,1.77,1.19
195904,2.39,2.53,2.67
195905,0.89,1.22,0.59
195906,0.95,1.13,1.47
195907,3.67,3.77,2.9
195908,-1.44,-1.91,-1.9
195909,-4.12,-4.52,-3.74
195910,0.77,0.36,-1.03
195911,0.62,0.33,0.14
195912,2.42,2.15,2.18
196001,-1.97,-1.7,-1.26
196002,0.05,0.2,-0.59
196003,-3.58,-4.21,-5.3
196004,-3.04,-3.34,-4.32
196005,1.33,1.36,0.73
196006,1.76,1.22,1.43
196007,-1.49,-1.69,-2.68
196008,3.78,3.5,2.66
196009,-6.29,-7.06,-7.31
196010,-2.68,-2.73,-2.62
196011,2.95,2.56,1.84
196012,2.22,2.02,0.82
196101,10.28,10.73,11.36
196102,6.73,5.93,4.95
196103,5.47,6.02,5.6
196104,1.84,1.25,-0.65
196105,4.51,4.99,5.44
196106,-4.66,-4.67,-5.58
196107,0.46,0.3,-0.36
196108,1.41,1.68,3.17
196109,-3.42,-3.46,-3.63
196110,0.95,0.97,1.15
196111,4.35,4.49,4.47
196112,0.52,-0.06,-1.88
196201,2.71,3.44,4.87
196202,1.94,1.88,0.82
196203,-0.58,-0.62,-1.85
196204,-6.57,-6.55,-5.88
196205,-9.46,-10.22,-10.81
196206,-7.62,-7.87,-8.4
196207,6.24,7,7.89
196208,2.52,2.68,2.21
196209,-5.73,-6.1,-6.26
196210,-1.91,-1.69,-2
196211,14.46,14.92,16.84
196212,-1.78,-1.71,-2.98
196301,10.24,10.47,12.06
196302,0.05,0.88,1.07
196303,2.58,2.23,1.61
196304,4.44,4.66,3.83
196305,5.28,6.08,7.62
196306,-1.55,-1.07,-1.37
196307,-1.07,-1.02,-1.37
196308,5.34,5.77,7.04
196309,-1.81,-1.46,-1.19
196310,2.11,1.64,1.43
196311,-0.4,-0.18,-0.75
196312,-0.35,-0.26,-0.72
196401,4.36,4.63,4.84
196402,3.89,4.42,4.73
196403,4.35,4.05,4.28
196404,-0.87,-0.45,-0.09
196405,1.57,1.87,2.46
196406,1.49,1.26,1.27
196407,3.88,3.99,4.9
196408,-1.03,-1.1,-1.8
196409,4.22,4.38,5.84
196410,2.61,2.89,2.53
196411,-0.59,-0.55,0.02
196412,-1.9,-1.63,-2.71
196501,8.25,8.39,9.18
196502,3.56,3.49,3.41
196503,2.22,2.77,4.4
196504,4.68,4.88,3.85
196505,-0.75,-0.84,-1.34
196506,-8.13,-8.31,-9.41
196507,3.77,4.5,5.07
196508,3.93,3.82,4.28
196509,3.73,3.68,2.53
196510,6.68,7.13,7.48
196511,5.66,5.75,6.39
196512,5.48,6.34,5.89
196601,7.78,7.94,8.98
196602,4.14,5.57,6.33
196603,-1.42,-1.36,-2.51
196604,5.12,4.9,5
196605,-9.98,-10.18,-10.68
196606,-0.1,0,-0.1
196607,-1.05,-1.16,-1.82
196608,-10.18,-10.23,-10.61
196609,-1.48,-1.37,-1.67
196610,-0.24,-0.6,-0.75
196611,2.41,2.48,3.29
196612,0.88,0.89,0.76
196701,18.2,17.7,18.52
196702,4.29,4.44,4.7
196703,5.91,5.54,5.15
196704,3.77,3.27,3.63
196705,-0.86,-0.97,-0.68
196706,8.14,7.97,8.71
196707,10.34,10.82,11.38
196708,1.7,2.2,3.37
196709,5.52,4.66,4.68
196710,-2.11,-2.6,-3.18
196711,-1.04,-0.82,-1.1
196712,8.81,8.72,9.21
196801,5.45,5.75,6.54
196802,-5.49,-5.23,-5.52
196803,-0.83,-0.4,0.11
196804,15.27,15.59,16.66
196805,11.19,11.4,12.2
196806,2,1.35,1.24
196807,0.43,0.55,0.97
196808,4.55,4.86,4.9
196809,7.26,7.81,8.72
196810,1.55,1.32,0.93
196811,6.7,6.64,5.16
196812,0.04,0.29,0.6
196901,-0.17,-0.13,-0.13
196902,-7.53,-7.95,-8.38
